seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
2,633631152,0,1003,13,-11,-280,-980,-70
3,633636137,0,1003,13,-11,-280,-980,-70
4,633641124,0,1001,13,-11,-210,-980,-70
5,633685977,0,1003,13,-12,-210,-1050,-70
6,633687123,0,1003,13,-12,-210,-1050,-70
7,633688123,0,1003,13,-12,-210,-1050,-70
8,633689122,0,1003,13,-12,-210,-1050,-70
9,633690120,0,1003,13,-12,-210,-1050,-70
10,633691124,0,1003,13,-12,-210,-1050,-70
11,633692121,0,1003,13,-12,-210,-1050,-70
12,633693123,0,1003,13,-12,-210,-1050,-70
13,633694125,0,1003,13,-12,-210,-1050,-70
14,633694784,0,1002,14,-12,-210,-1050,-70
15,633696129,0,1002,14,-12,-210,-1050,-70
16,633701125,0,1002,14,-12,-210,-1050,-70
17,633706123,0,1002,14,-12,-210,-1050,-70
18,633711122,0,1002,14,-12,-210,-1050,-70
19,633716123,0,1002,13,-12,-210,-1050,-70
20,633721123,0,1002,13,-12,-210,-1050,-70
21,633726124,0,1002,13,-12,-210,-1050,-70
22,633731123,0,1002,13,-12,-210,-1050,-70
23,633736121,0,1002,13,-11,-280,-980,-70
24,633741122,0,1002,13,-11,-280,-980,-70
25,633746123,0,1002,13,-11,-280,-980,-70
26,633751126,0,1001,12,-11,-210,-1050,-70
27,633756126,0,1001,12,-11,-210,-1050,-70
28,633761123,0,1001,12,-11,-210,-1050,-70
29,633766123,0,1001,12,-11,-210,-1050,-70
30,633771126,0,1002,13,-12,-280,-1050,-70
31,633776130,0,1002,13,-12,-280,-1050,-70
32,633781136,0,1002,13,-12,-280,-1050,-70
33,633800520,0,1002,13,-12,-280,-1050,-70
34,633801124,0,1002,13,-12,-280,-1050,-70
35,633802123,0,1002,13,-12,-280,-1050,-70
36,633803125,0,1002,13,-12,-280,-1050,-70
37,633806122,0,1001,13,-12,-280,-1050,-70
38,633811122,0,1001,13,-12,-280,-1050,-70
39,633816124,0,1001,13,-12,-280,-1050,-70
40,633821121,0,1001,13,-12,-280,-1050,-70
