seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
205912,1091805315,0,1002,3,14,-210,-1050,-70
205913,1091810305,0,1002,3,14,-210,-1050,-70
205914,1091815308,0,1002,3,14,-210,-1050,-70
205915,1091823450,0,1002,3,14,-210,-1050,-70
205916,1091825531,0,1004,4,15,-210,-1050,-70
205918,1091830527,0,1004,4,15,-210,-1050,-70
205919,1091837798,0,1004,4,15,-210,-1050,-70
205921,1091840339,0,1004,4,15,-210,-1050,-70
205922,1091845315,0,1002,3,15,-280,-1120,-70
205923,1091850311,0,1002,3,15,-280,-1120,-70
205924,1091855309,0,1002,3,15,-280,-1120,-70
205925,1091860308,0,1002,3,15,-280,-1120,-70
205926,1091865307,0,1001,3,14,-280,-1050,-70
205927,1091870307,0,1001,3,14,-280,-1050,-70
205928,1091875309,0,1001,3,14,-280,-1050,-70
205929,1091880309,0,1001,3,14,-280,-1050,-70
205930,1091885305,0,1002,4,15,-210,-1050,-70
205931,1091890322,0,1002,4,15,-210,-1050,-70
205932,1091895305,0,1002,4,15,-210,-1050,-70
205933,1091900310,0,1003,3,15,-210,-1050,-70
205934,1091905308,0,1003,3,15,-210,-1050,-70
205935,1091910308,0,1003,3,15,-210,-1050,-70
205936,1091915306,0,1003,3,15,-210,-1050,-70
205937,1091920304,0,1002,4,15,-280,-1050,-70
205938,1091925308,0,1002,4,15,-280,-1050,-70
205939,1091930315,0,1002,4,15,-280,-1050,-70
205940,1091937494,0,1002,4,14,-280,-1050,-70
205941,1091940341,0,1002,4,14,-280,-1050,-70
205943,1091945472,0,1002,4,14,-280,-1050,-70
205944,1091951448,0,1002,4,14,-280,-1050,-70
205946,1091955334,0,1001,3,14,-210,-1050,-70
205947,1091960313,0,1001,3,14,-210,-1050,-70
205948,1091965313,0,1001,3,14,-210,-1050,-70
205949,1091970312,0,1001,3,14,-210,-1050,-70
205950,1091975310,0,1002,4,15,-280,-1050,-70
205951,1091980305,0,1002,4,15,-280,-1050,-70
205952,1091985313,0,1002,4,15,-280,-1050,-70
205953,1091990306,0,1002,4,15,-280,-1050,-70
