t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1783970447.363,static,fabric,30.8,2.47,0.0,1.64,14,2.46,-0.18,0.12
1783970447.363,static,mid,43.7,5.85,0.0,0.07,5,5.61,-1.46,0.77
1783970447.363,static,metal,45.8,6.42,0.0,0.16,5,6.29,0.6,1.11
1783970447.419,static,fabric,30.8,2.47,0.0,1.64,14,2.46,-0.18,0.12
1783970447.419,static,mid,43.7,5.85,0.0,0.07,5,5.61,-1.46,0.77
1783970447.419,static,metal,45.8,6.41,0.0,0.18,5,6.29,0.6,1.1
1783970447.468,static,fabric,30.8,2.47,0.0,1.64,14,2.46,-0.17,0.12
1783970447.468,static,mid,43.7,5.85,0.0,0.07,5,5.61,-1.46,0.77
1783970447.468,static,metal,45.8,6.41,0.0,0.19,5,6.29,0.6,1.09
1783970447.52,static,fabric,30.8,2.47,0.0,1.62,15,2.46,-0.17,0.13
1783970447.52,static,mid,43.7,5.85,0.0,0.07,5,5.61,-1.46,0.77
1783970447.52,static,metal,45.8,6.41,0.0,0.2,5,6.29,0.6,1.08
1783970447.567,static,fabric,30.8,2.47,0.0,1.61,15,2.46,-0.17,0.13
1783970447.567,static,mid,43.7,5.85,0.0,0.07,5,5.61,-1.46,0.78
1783970447.567,static,metal,45.8,6.41,0.0,0.21,5,6.3,0.6,1.07
1783970447.616,static,fabric,30.8,2.47,0.0,1.61,15,2.46,-0.17,0.13
1783970447.616,static,mid,43.7,5.85,0.0,0.07,5,5.61,-1.46,0.78
1783970447.616,static,metal,45.8,6.41,0.0,0.21,5,6.3,0.61,1.05
1783970447.667,static,fabric,30.8,2.47,0.0,1.61,15,2.46,-0.17,0.13
1783970447.667,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.78
1783970447.667,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.62,1.03
1783970447.726,static,fabric,30.8,2.47,0.0,1.62,15,2.46,-0.17,0.13
1783970447.726,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.79
1783970447.726,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.63,1.02
1783970447.775,static,fabric,30.8,2.47,0.0,1.63,15,2.46,-0.16,0.13
1783970447.775,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.79
1783970447.775,static,metal,45.5,6.41,0.0,0.2,5,6.3,0.63,1.01
1783970447.822,static,fabric,30.8,2.47,0.0,1.63,15,2.46,-0.16,0.13
1783970447.822,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.78
1783970447.822,static,metal,45.5,6.41,0.0,0.2,5,6.3,0.64,1.01
1783970447.87,static,fabric,30.8,2.47,0.0,1.64,15,2.46,-0.16,0.13
1783970447.87,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.78
1783970447.87,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.64,1.01
1783970447.917,static,fabric,30.8,2.47,0.0,1.64,15,2.46,-0.16,0.13
1783970447.917,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.78
1783970447.917,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.64,1.01
1783970447.964,static,fabric,30.8,2.47,0.0,1.64,15,2.46,-0.16,0.13
1783970447.964,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.78
1783970447.964,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.64,1.01
1783970448.013,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.16,0.13
1783970448.013,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.78
1783970448.013,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.64,1.03
1783970448.061,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.16,0.13
1783970448.061,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.77
1783970448.061,static,metal,45.5,6.41,0.0,0.21,5,6.29,0.64,1.04
1783970448.107,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.16,0.13
1783970448.107,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.77
1783970448.107,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.63,1.04
1783970448.153,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.15,0.13
1783970448.153,static,mid,43.6,5.85,0.0,0.07,5,5.61,-1.46,0.76
1783970448.153,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.62,1.04
1783970448.202,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.16,0.13
1783970448.202,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.75
1783970448.202,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.61,1.03
1783970448.248,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.16,0.12
1783970448.248,static,mid,43.7,5.85,0.0,0.06,5,5.61,-1.46,0.75
1783970448.248,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.61,1.02
1783970448.293,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.16,0.12
1783970448.293,static,mid,43.7,5.84,0.0,0.06,5,5.61,-1.46,0.74
1783970448.293,static,metal,45.5,6.41,0.0,0.21,5,6.3,0.62,1.01
1783970448.338,static,fabric,30.8,2.47,0.0,1.65,15,2.46,-0.16,0.12
1783970448.338,static,mid,43.7,5.84,0.0,0.06,5,5.61,-1.46,0.74
1783970448.338,static,metal,45.5,6.41,0.0,0.22,5,6.3,0.63,1.0
1783970448.383,static,fabric,30.8,2.47,0.0,1.66,15,2.46,-0.16,0.11
