track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
76,,unknown,metal,7.71,-13.1,-2.4,0.35,0.35,1.42,5.5,49.5,52.7,1.9,0.0,0.0,0.0,0.0,1.95,2.94,2.93,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
84,,static,metal,7.59,7.2,5.2,0.12,0.45,0.71,4.3,51.9,53.4,2.1,0.0,0.0,0.0,0.0,2.69,0.56,0.6,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82,,unknown,metal,7.52,-5.8,0.8,0.52,1.52,2.3,7.9,50.1,51.9,1.6,0.0,0.0,0.0,0.0,6.01,2.07,1.6,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,,static,metal,7.62,-14.4,13.3,0.11,0.25,0.6,2.5,49.3,52.3,2.0,0.0,0.0,0.0,0.0,0.71,0.43,1.8,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,,unknown,metal,7.55,-14.9,13.1,0.18,0.4,1.18,3.9,50.2,51.8,1.5,0.0,0.0,0.0,0.0,7.77,2.41,1.71,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,,unknown,metal,7.61,-14.0,7.7,0.46,0.7,1.81,5.2,50.0,51.6,1.7,0.0,0.0,0.0,0.0,2.69,2.64,2.14,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,,static,fabric,1.14,-37.0,20.8,0.06,0.03,0.08,2.6,13.8,14.2,0.2,0.0,0.0,0.0,0.0,0.07,0.07,4.15,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
86,,static,fabric,1.13,56.6,-17.8,0.05,0.02,0.03,2.4,13.9,14.2,0.2,0.0,0.0,0.0,0.0,0.03,0.01,4.07,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
90,,unknown,metal,7.54,-15.4,15.3,0.27,0.3,1.6,3.2,48.2,52.9,2.4,0.0,0.0,0.0,0.0,8.8,2.43,0.99,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93,,static,metal,7.67,-14.8,18.3,0.17,0.23,0.5,2.5,49.2,50.5,0.9,0.0,0.0,0.0,0.0,1.21,0.2,0.49,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92,,static,metal,7.76,-14.6,6.2,0.19,0.35,0.4,2.3,48.6,50.2,1.2,0.0,0.0,0.0,0.0,3.04,0.67,0.64,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,,unknown,metal,7.68,-14.3,0.6,0.38,0.74,1.5,4.7,50.5,51.4,2.0,0.0,0.0,0.0,0.0,2.31,1.99,1.75,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
99,,static,metal,7.76,9.5,17.9,0.34,0.22,0.95,3.9,50.0,50.9,0.8,0.0,0.0,0.0,0.0,2.67,0.68,0.61,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100,,static,metal,7.59,-16.0,18.1,0.07,0.11,0.25,2.0,51.0,53.1,2.7,0.0,0.0,0.0,0.0,0.65,0.44,1.12,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,,static,fabric,1.13,-36.5,20.5,0.18,0.18,0.47,4.0,14.1,14.8,1.5,-0.01,0.01,0.05,0.04,0.54,0.07,4.87,53.0,0.0,0.0,0.0,0.066,0.934,0.0,0.0,0.0,0.0
95,,unknown,fabric,0.99,19.0,-6.0,0.22,0.43,0.28,5.0,14.1,16.0,1.1,0.0,0.01,0.04,0.04,2.32,0.76,5.35,79.0,0.0,0.0,0.0,0.0,0.967,0.033,0.0,0.0,0.0
98,,unknown,metal,7.49,-17.5,-25.6,0.38,0.43,1.63,4.8,50.2,51.7,1.4,0.0,0.0,0.0,0.0,1.87,1.22,3.95,53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
