t,frame,x,y,z,doppler,snr_db
1783974066.193,1,7.434,-0.938,0.406,0.0,16.1
1783974066.193,1,7.66,-0.48,0.235,0.0,14.0
1783974066.193,1,6.593,2.16,3.291,0.0,14.0
1783974066.193,1,7.648,1.213,-0.594,0.0,12.6
1783974066.297,2,7.44,-0.938,0.272,0.0,12.8
1783974066.297,2,7.651,-0.483,0.926,0.0,12.9
1783974066.297,2,7.544,1.952,0.517,0.0,12.6
1783974066.406,3,0.306,-0.515,-0.118,0.0,11.5
1783974066.406,3,7.546,-0.712,0.421,0.0,14.2
1783974066.406,3,7.616,1.708,-0.269,0.0,14.3
1783974066.464,4,7.553,-0.724,1.435,0.0,14.7
1783974066.464,4,7.643,1.464,-0.661,0.0,13.2
1783974066.58,5,0.664,-0.886,-0.247,0.0,12.7
1783974066.58,5,1.036,0.461,0.022,0.0,12.7
1783974066.58,5,7.307,-0.48,2.31,0.0,13.6
1783974066.58,5,6.947,2.16,-2.458,0.0,13.6
1783974066.58,5,7.695,0.976,-0.909,0.0,11.7
1783974066.697,6,7.621,-0.724,1.017,0.0,15.8
1783974066.697,6,7.57,-0.976,1.655,0.0,13.9
1783974066.697,6,6.954,1.708,-3.116,0.0,13.9
1783974066.812,7,0.305,-0.515,-0.119,0.0,11.5
1783974066.812,7,7.409,-1.173,0.212,0.0,15.2
1783974066.812,7,7.292,-0.954,2.052,0.0,13.6
1783974066.812,7,7.541,1.193,-0.01,0.0,13.6
1783974066.87,8,7.445,-0.938,0.053,0.0,13.1
1783974066.87,8,6.133,3.283,-2.814,0.0,13.1
1783974066.971,9,7.437,-0.704,0.71,0.0,11.5
1783974066.971,9,6.581,3.283,1.49,0.0,11.5
1783974066.971,9,7.636,-0.72,0.371,0.0,11.8
1783974067.072,10,7.443,-0.938,0.175,0.0,11.8
1783974067.072,10,7.027,2.58,0.527,0.0,11.8
1783974067.072,10,7.681,-0.724,0.332,0.0,14.7
1783974067.173,11,7.442,-0.704,0.656,0.0,13.8
1783974067.173,11,7.659,-0.965,0.194,0.0,12.7
1783974067.173,11,7.217,1.931,-1.954,0.0,12.7
1783974067.273,12,0.637,-0.886,-0.309,0.0,12.7
1783974067.273,12,1.028,0.461,-0.131,0.0,12.7
1783974067.273,12,7.6,-0.724,1.162,0.0,14.2
1783974067.374,13,0.626,-0.886,-0.331,0.0,11.5
1783974067.374,13,1.008,0.496,-0.154,0.0,11.5
1783974067.374,13,7.553,-0.712,-0.261,0.0,12.8
1783974067.475,14,7.531,-0.949,0.086,0.0,12.8
1783974067.576,15,7.62,-0.971,1.143,0.0,14.9
