t,frame,x,y,z,doppler,snr_db,noise_db
1783975668.894,1,0.725,0.07,0.139,0.0,15.8,76.7
1783975668.894,1,0.718,-0.414,0.017,0.0,12.8,77.7
1783975668.894,1,1.019,-0.196,0.137,0.0,11.4,74.9
1783975668.894,1,2.542,1.35,0.095,0.0,11.6,67.7
1783975668.894,1,5.352,0.169,0.77,0.0,19.2,60.4
1783975668.894,1,8.25,1.322,1.351,0.0,12.9,50.8
1783975669.004,2,0.725,0.07,0.139,0.0,15.7,76.8
1783975669.004,2,0.718,-0.414,0.016,0.0,12.7,77.8
1783975669.004,2,2.541,1.35,0.112,0.0,11.7,67.5
1783975669.004,2,5.352,0.169,0.77,0.0,19.2,60.4
1783975669.004,2,8.259,1.322,1.296,0.0,12.4,51.0
1783975669.067,3,0.725,0.07,0.138,0.0,15.7,76.8
1783975669.067,3,0.718,-0.414,0.014,0.0,12.7,77.7
1783975669.067,3,2.342,0.458,0.523,0.0,11.4,73.5
1783975669.067,3,2.54,1.35,0.127,0.0,11.6,67.6
1783975669.067,3,5.355,0.169,0.751,0.0,19.5,60.2
1783975669.067,3,8.242,1.322,1.402,0.0,13.3,51.2
1783975669.171,4,0.725,0.07,0.138,0.0,15.7,76.8
1783975669.171,4,0.718,-0.414,0.014,0.0,12.7,77.7
1783975669.171,4,2.342,0.458,0.526,0.0,11.8,73.0
1783975669.171,4,2.541,1.35,0.114,0.0,11.5,67.8
1783975669.171,4,5.353,0.169,0.766,0.0,19.1,60.5
1783975669.171,4,8.187,1.322,1.694,0.0,11.8,51.8
1783975669.293,5,0.726,0.07,0.137,0.0,15.7,76.8
1783975669.293,5,0.718,-0.414,0.015,0.0,12.6,77.9
1783975669.293,5,1.02,-0.196,0.134,0.0,11.2,75.0
1783975669.293,5,2.34,0.458,0.533,0.0,12.0,72.7
1783975669.293,5,2.541,1.35,0.114,0.0,11.3,67.9
1783975669.293,5,5.352,0.169,0.771,0.0,19.3,60.3
1783975669.293,5,8.179,1.587,1.491,0.0,12.4,51.3
1783975669.395,6,0.726,0.07,0.134,0.0,15.7,76.8
1783975669.395,6,0.718,-0.414,0.013,0.0,12.7,77.8
1783975669.395,6,1.02,-0.196,0.133,0.0,11.3,75.0
1783975669.395,6,2.34,0.458,0.535,0.0,12.3,72.5
1783975669.395,6,2.541,1.35,0.11,0.0,11.4,67.9
1783975669.395,6,5.354,0.169,0.755,0.0,19.9,59.8
1783975669.395,6,8.213,1.587,1.292,0.0,13.1,51.2
1783975669.503,7,0.726,0.07,0.134,0.0,15.7,76.8
